param R : AAPL ABT AVGO AXP BKNG C CL INTU LIN MO GOOG GOOGL MCD MRK NVDA NFLX NOW TMUS UNP BRK-B :=
T14 -0.005446 -0.022425 -0.013104 -0.016579 0.018137 -0.011719 0.004635 -0.005142 -0.009990 -0.004910 0.024024 0.022507 0.003253 -0.002555 -0.008849 -0.069221 -0.015265 -0.005749 -0.035303 0.000571
T15 -0.009583 0.033513 0.003548 0.033126 0.052872 0.021856 -0.005893 -0.002915 0.009917 0.012465 0.013820 0.013033 0.004207 0.014602 -0.012107 -0.007811 -0.008466 -0.006938 -0.061861 0.006804
T16 -0.006134 -0.015437 -0.001741 -0.036358 0.017595 0.000000 0.000631 0.007836 0.004588 0.002308 0.015892 0.016382 -0.001920 0.007827 0.017158 0.006286 0.015910 0.006628 0.005343 0.005198
T17 0.000087 0.011226 -0.025972 -0.040602 -0.040723 -0.015700 -0.008193 -0.018929 -0.026807 -0.013050 -0.030805 -0.029817 -0.019413 -0.012401 -0.033038 -0.000082 -0.024124 -0.005339 -0.018284 -0.019839
T18 0.013472 -0.003853 -0.009476 -0.020128 -0.029486 -0.031900 0.002033 0.006645 -0.011053 -0.036298 0.008683 0.009209 -0.005797 -0.010781 0.019443 0.001413 -0.003588 0.009304 -0.027775 -0.007722
T19 -0.046312 -0.019893 -0.034455 -0.035079 -0.054579 -0.017908 -0.025238 -0.035607 -0.037965 -0.012107 -0.054630 -0.055089 -0.037135 -0.023208 -0.057458 -0.005502 -0.031532 -0.026768 -0.034527 -0.029872
T20 0.037050 -0.013343 0.022465 -0.005786 0.015707 0.012886 -0.002472 0.022291 0.013508 0.004085 0.033377 0.030501 0.001211 -0.003807 0.031440 0.036957 0.054829 -0.002641 0.015400 0.004036
T21 -0.056018 0.001048 -0.015155 0.001867 -0.004760 0.006561 0.028955 -0.033568 0.002274 -0.021426 0.034309 0.038044 -0.009072 -0.008960 -0.037623 -0.056465 -0.025500 0.000548 0.006533 0.001935
T22 -0.000827 0.022548 0.004633 0.023674 -0.011322 0.019073 0.016098 0.005529 0.037397 0.011086 0.003097 0.005080 -0.002066 0.019944 0.003730 0.017615 -0.043351 0.007484 0.011570 0.011937
T23 0.015354 0.019352 0.007146 0.030942 0.040801 0.031272 0.036801 0.026262 0.024105 0.024945 0.014870 0.013138 0.019947 0.002738 0.034875 0.006403 0.008508 0.006613 0.034255 0.011355
T24 0.040837 0.017981 0.030727 0.001142 0.026198 -0.033310 0.009024 0.056262 0.005126 0.018454 0.059944 0.060881 -0.008902 0.048102 0.059507 0.019970 0.069847 0.044096 0.007336 -0.002226
T25 0.035494 0.017932 0.044538 0.017739 0.032096 0.023527 -0.010136 0.023207 0.061498 -0.020221 0.008141 0.009537 0.006702 -0.001985 0.026515 0.033826 0.034075 0.010688 0.028543 0.006208
T26 -0.001136 0.007839 -0.000657 -0.014474 0.008731 -0.008358 0.000241 0.003704 0.002242 -0.001072 -0.000919 -0.001572 0.001155 -0.001243 0.028390 0.001888 0.007720 0.053727 -0.010413 0.006749
T27 -0.019968 -0.043961 -0.013347 0.213879 0.187521 0.115430 -0.015055 0.022370 0.029282 0.024148 0.000710 0.000960 -0.015423 0.001742 -0.063951 -0.085929 -0.062073 -0.006313 0.041721 0.060570
T28 -0.003009 0.012981 -0.033046 -0.012099 -0.052308 0.000210 0.019198 -0.049647 0.017039 0.037202 -0.012825 -0.013455 0.000469 0.007577 -0.063148 0.020701 -0.041198 -0.008633 0.016465 0.031512
T29 0.030352 0.016605 0.035222 -0.041656 -0.003696 0.026863 0.018956 0.029626 -0.009235 0.004294 0.007079 0.005473 0.022033 -0.000616 0.050744 0.021906 0.045878 0.028179 -0.006260 -0.004858
T30 -0.002343 -0.006214 -0.015216 -0.000180 -0.018550 -0.013284 -0.002355 -0.008201 -0.017525 -0.006539 -0.001637 -0.002524 -0.022704 -0.014804 0.002888 -0.008130 0.012754 0.013264 0.002450 -0.011655
T31 0.000419 0.005806 0.008914 0.035013 0.045825 0.007871 0.007435 0.021287 0.007802 0.021013 0.015533 0.016892 0.000985 0.015402 -0.011871 -0.008074 -0.003472 0.011198 0.014714 0.012015
T32 0.008720 0.009503 0.019572 0.032003 0.027639 0.035758 0.006678 0.000308 -0.006224 0.028515 0.002454 0.000999 0.016176 -0.011222 0.016413 -0.007746 -0.011279 0.003275 0.016074 0.024976
